"Gender";"Year";"Age";"Country";"imputed_flag";"mx";"logmx"
"Female";1950;81;"CHE";"FALSE";0.117961;-2.13740121762101
"Female";1950;82;"CHE";"FALSE";0.143867;-1.9388660173088
"Female";1950;83;"CHE";"FALSE";0.140719;-1.96099028488849
"Female";1950;84;"CHE";"FALSE";0.163874;-1.80865743912894
"Female";1950;85;"CHE";"FALSE";0.172683;-1.75629773526996
"Female";1950;86;"CHE";"FALSE";0.194495;-1.63734882319494
"Female";1950;87;"CHE";"FALSE";0.218828;-1.51946924587233
"Female";1950;88;"CHE";"FALSE";0.236288;-1.44270387898186
"Female";1950;89;"CHE";"FALSE";0.250716;-1.38343445455402
"Female";1950;90;"CHE";"FALSE";0.247634;-1.39580342934373
"Female";1950;91;"CHE";"FALSE";0.311991;-1.16478093774256
"Female";1950;92;"CHE";"FALSE";0.306496;-1.18255057426199
"Female";1950;93;"CHE";"FALSE";0.368132;-0.999313709476938
"Female";1950;94;"CHE";"FALSE";0.464135;-0.767579820797261
"Female";1950;95;"CHE";"FALSE";0.400835;-0.914205407674817
"Female";1950;96;"CHE";"FALSE";0.294737;-1.22167184571119
"Female";1950;97;"CHE";"FALSE";0.424528;-0.856777315453111
"Female";1950;98;"CHE";"FALSE";0.734694;-0.308301192987864
"Female";1950;99;"CHE";"FALSE";0.4;-0.916290731874155
"Female";1951;0;"CHE";"FALSE";0.02603;-3.64850555997566
"Female";1951;1;"CHE";"FALSE";0.002946;-5.8273069609417
"Female";1951;2;"CHE";"FALSE";0.001691;-6.38243520906569
"Female";1951;3;"CHE";"FALSE";0.001283;-6.65855419334864
"Female";1951;4;"CHE";"FALSE";0.000893;-7.02092397708777
"Female";1951;5;"CHE";"FALSE";0.000862;-7.05625528730058
"Female";1951;6;"CHE";"FALSE";0.000639;-7.35560610358674
"Female";1951;7;"CHE";"FALSE";5e-04;-7.60090245954208
"Female";1951;8;"CHE";"FALSE";0.000647;-7.34316426346337
"Female";1951;9;"CHE";"FALSE";0.000473;-7.65641516947234
"Female";1951;10;"CHE";"FALSE";0.000375;-7.88858453199386
"Female";1951;11;"CHE";"FALSE";0.000426;-7.7610712116949
"Female";1951;12;"CHE";"FALSE";0.000266;-8.23201424918257
"Female";1951;13;"CHE";"FALSE";0.000401;-7.82154913065771
"Female";1951;14;"CHE";"FALSE";0.000435;-7.74016452687559
"Female";1951;15;"CHE";"FALSE";0.00026;-8.25482892694875
"Female";1951;16;"CHE";"FALSE";0.000499;-7.60290446221276
"Female";1951;17;"CHE";"FALSE";0.000675;-7.30079786709174
"Female";1951;18;"CHE";"FALSE";0.000472;-7.65853157237872
"Female";1951;19;"CHE";"FALSE";6e-04;-7.41858090274813
"Female";1951;20;"CHE";"FALSE";0.00092;-6.99113688792119
"Female";1951;21;"CHE";"FALSE";0.000959;-6.94961948308084
"Female";1951;22;"CHE";"FALSE";0.000787;-7.14728230954687
"Female";1951;23;"CHE";"FALSE";0.000846;-7.07499119835805
"Female";1951;24;"CHE";"FALSE";0.000756;-7.18746918178474
"Female";1951;25;"CHE";"FALSE";0.001238;-6.69425810471973
"Female";1951;26;"CHE";"FALSE";0.001514;-6.49300012396688
"Female";1951;27;"CHE";"FALSE";0.001405;-6.56771797619643
