iteration,score,learning_rate,max_depth,min_child_weight,colsample_bynode,subsample,reg_lambda,reg_alpha,objective,tree_method,eval_metric
387.0,9.779246560898022,0.03,4,0.0001,0.8,0.8,2,1,reg:gamma,hist,gamma-nloglik
382.0,9.781401193368687,0.03,4,0.0,1.0,0.8,1,1,reg:gamma,hist,gamma-nloglik
382.0,9.781401193368687,0.03,4,0.0001,1.0,0.8,1,1,reg:gamma,hist,gamma-nloglik
393.0,9.782094050934472,0.03,4,0.0,1.0,0.8,0,2,reg:gamma,hist,gamma-nloglik
393.0,9.782094050934472,0.03,4,0.0001,1.0,0.8,0,2,reg:gamma,hist,gamma-nloglik
407.0,9.782126594138397,0.03,4,0.0,1.0,0.8,2,1,reg:gamma,hist,gamma-nloglik
407.0,9.782126594138397,0.03,4,0.0001,1.0,0.8,2,1,reg:gamma,hist,gamma-nloglik
386.0,9.78326872356833,0.03,4,0.0001,1.0,0.8,2,2,reg:gamma,hist,gamma-nloglik
386.0,9.78326872356833,0.03,4,0.0,1.0,0.8,2,2,reg:gamma,hist,gamma-nloglik
393.0,9.783425220082325,0.03,4,0.0001,1.0,0.8,2,0,reg:gamma,hist,gamma-nloglik
393.0,9.783425220082325,0.03,4,0.0,1.0,0.8,2,0,reg:gamma,hist,gamma-nloglik
405.0,9.784877034892276,0.03,4,0.0001,1.0,0.8,0,1,reg:gamma,hist,gamma-nloglik
405.0,9.784877034892276,0.03,4,0.0,1.0,0.8,0,1,reg:gamma,hist,gamma-nloglik
382.0,9.785665887002539,0.03,4,0.0001,1.0,0.8,1,0,reg:gamma,hist,gamma-nloglik
382.0,9.785665887002539,0.03,4,0.0,1.0,0.8,1,0,reg:gamma,hist,gamma-nloglik
382.0,9.788075778589594,0.03,4,0.0001,1.0,0.8,1,2,reg:gamma,hist,gamma-nloglik
382.0,9.788075778589594,0.03,4,0.0,1.0,0.8,1,2,reg:gamma,hist,gamma-nloglik
383.0,9.79655048781996,0.03,5,0.0001,0.8,0.8,0,2,reg:gamma,hist,gamma-nloglik
383.0,9.79655048781996,0.03,5,0.0,0.8,0.8,0,2,reg:gamma,hist,gamma-nloglik
376.0,9.8033367791754,0.03,5,0.0001,0.8,0.8,1,2,reg:gamma,hist,gamma-nloglik
376.0,9.8033367791754,0.03,5,0.0,0.8,0.8,1,2,reg:gamma,hist,gamma-nloglik
376.0,9.804029124019099,0.03,5,0.0,1.0,1.0,1,1,reg:gamma,hist,gamma-nloglik
376.0,9.804029124019099,0.03,5,0.0001,1.0,1.0,1,1,reg:gamma,hist,gamma-nloglik
397.0,9.804973856658169,0.03,5,0.0001,1.0,1.0,2,2,reg:gamma,hist,gamma-nloglik
397.0,9.804973856658169,0.03,5,0.0,1.0,1.0,2,2,reg:gamma,hist,gamma-nloglik
367.0,9.806388277733557,0.03,5,0.0001,0.8,1.0,1,0,reg:gamma,hist,gamma-nloglik
367.0,9.806388277733557,0.03,5,0.0,0.8,1.0,1,0,reg:gamma,hist,gamma-nloglik
370.0,9.806713022816316,0.03,5,0.0001,0.8,1.0,2,2,reg:gamma,hist,gamma-nloglik
370.0,9.806713022816316,0.03,5,0.0,0.8,1.0,2,2,reg:gamma,hist,gamma-nloglik
389.0,9.807906444067813,0.03,5,0.0,1.0,1.0,1,0,reg:gamma,hist,gamma-nloglik
389.0,9.807906444067813,0.03,5,0.0001,1.0,1.0,1,0,reg:gamma,hist,gamma-nloglik
393.0,9.808345745399487,0.03,5,0.0,1.0,1.0,2,1,reg:gamma,hist,gamma-nloglik
393.0,9.808345745399487,0.03,5,0.0001,1.0,1.0,2,1,reg:gamma,hist,gamma-nloglik
401.0,9.808794076880675,0.03,5,0.0,0.8,1.0,1,1,reg:gamma,hist,gamma-nloglik
401.0,9.808794076880675,0.03,5,0.0001,0.8,1.0,1,1,reg:gamma,hist,gamma-nloglik
376.0,9.809729195015617,0.03,5,0.0001,0.8,1.0,2,1,reg:gamma,hist,gamma-nloglik
376.0,9.809729195015617,0.03,5,0.0,0.8,1.0,2,1,reg:gamma,hist,gamma-nloglik
385.0,9.809746334723153,0.03,5,0.0,1.0,1.0,2,0,reg:gamma,hist,gamma-nloglik
385.0,9.809746334723153,0.03,5,0.0001,1.0,1.0,2,0,reg:gamma,hist,gamma-nloglik
364.0,9.810299827954033,0.03,5,0.0001,0.8,0.8,2,2,reg:gamma,hist,gamma-nloglik
364.0,9.810299827954033,0.03,5,0.0,0.8,0.8,2,2,reg:gamma,hist,gamma-nloglik
386.0,9.811269894004612,0.03,5,0.0,1.0,1.0,1,2,reg:gamma,hist,gamma-nloglik
386.0,9.811269894004612,0.03,5,0.0001,1.0,1.0,1,2,reg:gamma,hist,gamma-nloglik
383.0,9.811426228959206,0.03,5,0.0,0.8,1.0,2,0,reg:gamma,hist,gamma-nloglik
