iteration,score,learning_rate,max_depth,min_child_weight,colsample_bynode,subsample,reg_lambda,reg_alpha,objective,tree_method,eval_metric
594.0,0.41339599572686725,0.01,3,0.0001,0.8,1.0,2,0,binary:logistic,hist,logloss
764.0,0.4134464956269758,0.01,3,0.0001,0.8,1.0,2,2,binary:logistic,hist,logloss
764.0,0.4134464956269758,0.01,3,0.0,0.8,1.0,2,2,binary:logistic,hist,logloss
580.0,0.41348475777816374,0.01,3,0.0,0.8,1.0,0,1,binary:logistic,hist,logloss
580.0,0.41348475777816374,0.01,3,0.0001,0.8,1.0,0,1,binary:logistic,hist,logloss
460.0,0.4134976839371348,0.01,4,0.0001,0.8,0.8,2,0,binary:logistic,hist,logloss
460.0,0.4134976839371348,0.01,4,0.0,0.8,0.8,2,0,binary:logistic,hist,logloss
495.0,0.4135464509233014,0.01,4,0.0001,1.0,0.8,2,0,binary:logistic,hist,logloss
495.0,0.4135464509233014,0.01,4,0.0,1.0,0.8,2,0,binary:logistic,hist,logloss
510.0,0.413567120972815,0.01,4,0.0,1.0,0.8,2,2,binary:logistic,hist,logloss
510.0,0.413567120972815,0.01,4,0.0001,1.0,0.8,2,2,binary:logistic,hist,logloss
493.0,0.4135708299192534,0.01,4,0.0001,1.0,0.8,1,2,binary:logistic,hist,logloss
493.0,0.4135708299192534,0.01,4,0.0,1.0,0.8,1,2,binary:logistic,hist,logloss
452.0,0.41357540558545197,0.01,4,0.0,0.8,0.8,0,1,binary:logistic,hist,logloss
452.0,0.41357540558545197,0.01,4,0.0001,0.8,0.8,0,1,binary:logistic,hist,logloss
493.0,0.4135975027746574,0.01,4,0.0,1.0,0.8,0,2,binary:logistic,hist,logloss
493.0,0.4135975027746574,0.01,4,0.0001,1.0,0.8,0,2,binary:logistic,hist,logloss
495.0,0.4135984902906661,0.01,4,0.0001,1.0,0.8,2,1,binary:logistic,hist,logloss
495.0,0.4135984902906661,0.01,4,0.0,1.0,0.8,2,1,binary:logistic,hist,logloss
670.0,0.41360135507407464,0.01,3,0.0001,0.8,1.0,2,1,binary:logistic,hist,logloss
670.0,0.41360135507407464,0.01,3,0.0,0.8,1.0,2,1,binary:logistic,hist,logloss
663.0,0.4136038118903615,0.01,3,0.0,0.8,1.0,0,2,binary:logistic,hist,logloss
663.0,0.4136038118903615,0.01,3,0.0001,0.8,1.0,0,2,binary:logistic,hist,logloss
493.0,0.41360473531681174,0.01,4,0.0,1.0,0.8,1,1,binary:logistic,hist,logloss
